date,course_id,course_title,learners_total,learners_delta,reviews_total,reviews_delta
2026-03-13,244062,Анализ данных Python: с 0 до уверенного бизнес-пользователя,179,0,5,0
2026-03-13,223260,Аналитика и Data Science для менеджеров и гуманитариев,221,0,4,0
2026-03-13,220868,Power BI: от новичка до профессионала,348,0,2,0
2026-03-13,219647,Power BI Service: основное для бизнес-пользователей,385,0,3,0
2026-03-13,219191,Excel Power Query и Pivot:  от новичка до профессионала,218,0,1,0
2026-03-13,215033,Расширенный\Advanced DAX для бизнес-пользователей,757,0,18,0
2026-03-13,209880,Описательная статистика для оптимизации (тема: HR-аналитика),1418,0,37,0
2026-03-13,209760,Построение бизнес-ориентированной HR функции,52,0,2,0
2026-03-13,209479,Управление проектами преобразований (трансформационные проекты),63,0,7,0
2026-03-13,201431,Основы M в Power Query для бизнес-пользователей,76,0,4,0
2026-03-13,199534,Advanced\Расширенный Power Query для бизнес-пользователей,784,0,21,0
2026-03-13,192863,Практика оргпроектирования (организационный дизайн),186,0,2,0
2026-03-13,185696,SQL: от новичка до уверенного бизнес-пользователя,519,0,28,0
2026-03-13,175185,Excel: от новичка до аналитика,3015,0,48,0
2026-03-13,173117,Excel: основное для работы с массивами и базами данных,3358,0,113,0
2026-03-13,163258,Управление проектами: полное погружение в PMBOK-7,1750,0,86,0
2026-03-13,159477,Power Point:  от новичка до уверенного бизнес-пользователя,426,0,34,0
2026-03-13,153842,Аналитика в SPSS: от новичка до уверенного бизнес-пользователя,350,0,13,0
2026-03-13,146872,"Advanced Excel: поиск решений, аналитика и прогнозирование",3643,0,69,0
2026-03-13,144530,Excel Power Query и Pivot (+BI): с 0 до бизнес-пользователя,5096,0,188,0
2026-03-13,138385,Power BI: от новичка до уверенного бизнес-пользователя,3202,0,157,0
2026-03-13,119119,Excel: от новичка до уверенного бизнес-пользователя,4546,0,310,0
2026-03-14,244062,Анализ данных Python: с 0 до уверенного бизнес-пользователя,179,0,6,1
2026-03-14,223260,Аналитика и Data Science для менеджеров и гуманитариев,221,0,5,1
2026-03-14,220868,Power BI: от новичка до профессионала,349,1,2,0
2026-03-14,219647,Power BI Service: основное для бизнес-пользователей,386,1,3,0
2026-03-14,219191,Excel Power Query и Pivot:  от новичка до профессионала,219,1,1,0
2026-03-14,215033,Расширенный\Advanced DAX для бизнес-пользователей,760,3,18,0
2026-03-14,209880,Описательная статистика для оптимизации (тема: HR-аналитика),1420,2,37,0
2026-03-14,209760,Построение бизнес-ориентированной HR функции,52,0,2,0
2026-03-14,209479,Управление проектами преобразований (трансформационные проекты),63,0,7,0
2026-03-14,201431,Основы M в Power Query для бизнес-пользователей,76,0,4,0
2026-03-14,199534,Advanced\Расширенный Power Query для бизнес-пользователей,786,2,21,0
2026-03-14,192863,Практика оргпроектирования (организационный дизайн),186,0,2,0
2026-03-14,185696,SQL: от новичка до уверенного бизнес-пользователя,519,0,28,0
2026-03-14,175185,Excel: от новичка до аналитика,3019,4,48,0
2026-03-14,173117,Excel: основное для работы с массивами и базами данных,3362,4,113,0
2026-03-14,163258,Управление проектами: полное погружение в PMBOK-7,1750,0,86,0
2026-03-14,159477,Power Point:  от новичка до уверенного бизнес-пользователя,426,0,34,0
2026-03-14,153842,Аналитика в SPSS: от новичка до уверенного бизнес-пользователя,350,0,13,0
2026-03-14,146872,"Advanced Excel: поиск решений, аналитика и прогнозирование",3647,4,69,0
2026-03-14,144530,Excel Power Query и Pivot (+BI): с 0 до бизнес-пользователя,5102,6,188,0
2026-03-14,138385,Power BI: от новичка до уверенного бизнес-пользователя,3206,4,157,0
